"","MAX_TEMPERATURE","MIN_TEMPERATURE","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY"
"498",8.9,-3.9,1875-05-13,1875,5,13
"499",17.8,1.1,1875-05-14,1875,5,14
"500",18.3,0,1875-05-15,1875,5,15
"501",13.3,1.7,1875-05-16,1875,5,16
"502",17.2,3.3,1875-05-17,1875,5,17
"503",13.3,1.7,1875-05-18,1875,5,18
"504",13.9,2.2,1875-05-19,1875,5,19
"505",21.1,3.9,1875-05-20,1875,5,20
"506",12.2,0.6,1875-05-21,1875,5,21
"507",9.4,-0.6,1875-05-22,1875,5,22
"508",12.2,0.6,1875-05-23,1875,5,23
"509",11.1,0,1875-05-24,1875,5,24
"510",15,0.6,1875-05-25,1875,5,25
"511",12.8,1.7,1875-05-26,1875,5,26
"512",10,3.3,1875-05-27,1875,5,27
"513",5.6,0,1875-05-28,1875,5,28
"514",3.9,0,1875-05-29,1875,5,29
"515",3.3,-0.6,1875-05-30,1875,5,30
"516",5,-0.6,1875-05-31,1875,5,31
"517",11.7,-1.1,1875-06-01,1875,6,1
"518",16.7,-1.1,1875-06-02,1875,6,2
"519",7.2,-2.8,1875-06-03,1875,6,3
"520",NA,NA,1875-06-04,1875,6,4
"521",21.1,0,1875-06-05,1875,6,5
"522",25.6,5.6,1875-06-06,1875,6,6
"523",22.2,10,1875-06-07,1875,6,7
"524",22.8,9.4,1875-06-08,1875,6,8
"525",12.8,8.9,1875-06-09,1875,6,9
"526",22.2,8.9,1875-06-10,1875,6,10
"527",24.4,13.3,1875-06-11,1875,6,11
"528",25,12.8,1875-06-12,1875,6,12
"529",26.1,13.9,1875-06-13,1875,6,13
"530",25.6,16.1,1875-06-14,1875,6,14
"531",18.3,7.8,1875-06-15,1875,6,15
"532",21.7,6.1,1875-06-16,1875,6,16
"533",11.1,5,1875-06-17,1875,6,17
"534",18.9,4.4,1875-06-18,1875,6,18
"535",15,5.6,1875-06-19,1875,6,19
"536",18.3,8.3,1875-06-20,1875,6,20
"537",23.3,6.7,1875-06-21,1875,6,21
"538",22.8,6.1,1875-06-22,1875,6,22
"539",25,2.2,1875-06-23,1875,6,23
